,Date,Close
1485,2013-07-02,14.91
1486,2013-07-03,14.7
1487,2013-07-05,13.47
1488,2013-07-08,13.33
1489,2013-07-09,13.26
1490,2013-07-10,12.93
1491,2013-07-11,12.79
1492,2013-07-12,12.93
1493,2013-07-15,12.92
1494,2013-07-16,13.35
1495,2013-07-17,12.7
1496,2013-07-18,12.53
1497,2013-07-19,11.66
1498,2013-07-22,11.68
1499,2013-07-23,11.71
1500,2013-07-24,12
1501,2013-07-25,11.91
1502,2013-07-26,11.79
1503,2013-07-29,12.3
1504,2013-07-30,12.33
1505,2013-07-31,12.57
1506,2013-08-01,12.26
1507,2013-08-02,11.25
1508,2013-08-05,11.13
1509,2013-08-06,11.97
1510,2013-08-07,12.02
1511,2013-08-08,12.02
1512,2013-08-09,12.59
1513,2013-08-12,12.21
1514,2013-08-13,11.67
1515,2013-08-14,12.49
1516,2013-08-15,13.84
1517,2013-08-16,13.37
1518,2013-08-19,13.81
1519,2013-08-20,13.81
1520,2013-08-21,14.9
1521,2013-08-22,13.89
1522,2013-08-23,13.05
1523,2013-08-26,13.89
1524,2013-08-27,15.12
1525,2013-08-28,14.84
1526,2013-08-29,15.15
1527,2013-08-30,15.38
1528,2013-09-03,15.14
1529,2013-09-04,14.5
1530,2013-09-05,14.31
1531,2013-09-06,14.35
1532,2013-09-09,14.23
1533,2013-09-10,13.34
1534,2013-09-11,12.56
1535,2013-09-12,12.95
1536,2013-09-13,12.98
1537,2013-09-16,13.12
1538,2013-09-17,13.44
1539,2013-09-18,13.13
1540,2013-09-19,12.47
1541,2013-09-20,12.84
1542,2013-09-23,13.64
1543,2013-09-24,13.48
1544,2013-09-25,13.55
1545,2013-09-26,13.4
1546,2013-09-27,14.69
1547,2013-09-30,15.91
1548,2013-10-01,15.04
1549,2013-10-02,16.34
1550,2013-10-03,17.12
1551,2013-10-04,16.15
1552,2013-10-07,18.5
1553,2013-10-08,19.33
1554,2013-10-09,18.39
1555,2013-10-10,15.76
1556,2013-10-11,14.76
1557,2013-10-14,15.17
1558,2013-10-15,17.78
1559,2013-10-16,14.73
1560,2013-10-17,13.29
1561,2013-10-18,12.83
1562,2013-10-21,12.98
1563,2013-10-22,12.97
1564,2013-10-23,12.85
1565,2013-10-24,12.4
1566,2013-10-25,12.38
1567,2013-10-28,12.74
1568,2013-10-29,12.78
1569,2013-10-30,13.08
1570,2013-10-31,13.05
1571,2013-11-01,12.66
1572,2013-11-04,12.66
1573,2013-11-05,12.66
1574,2013-11-06,12.12
1575,2013-11-07,12.89
1576,2013-11-08,12.33
1577,2013-11-11,12.04
1578,2013-11-12,12.18
1579,2013-11-13,12.1
1580,2013-11-14,11.96
1581,2013-11-15,11.24
1582,2013-11-18,11.86
1583,2013-11-19,12.17
1584,2013-11-20,12.35
1585,2013-11-21,11.91
1586,2013-11-22,11.4
1587,2013-11-25,11.78
1588,2013-11-26,11.83
1589,2013-11-27,12.03
1590,2013-11-29,12.76
1591,2013-12-02,13.52
1592,2013-12-03,13.81
1593,2013-12-04,13.88
1594,2013-12-05,14.23
1595,2013-12-06,12.85
1596,2013-12-09,12.96
1597,2013-12-10,13.24
1598,2013-12-11,14.33
1599,2013-12-12,14.76
1600,2013-12-13,14.92
1601,2013-12-16,15.12
1602,2013-12-17,14.98
1603,2013-12-18,12.81
1604,2013-12-19,13.02
1605,2013-12-20,12.89
1606,2013-12-23,12.47
1607,2013-12-24,11.9
1608,2013-12-26,11.57
1609,2013-12-27,11.7
1610,2013-12-30,12.64
1611,2013-12-31,12.9
1612,2014-01-02,13.31
1613,2014-01-03,12.89
1614,2014-01-06,12.68
1615,2014-01-07,12.17
